run_id,initial_state,algorithm,cost_function,heuristic,random_successors,goal_state_found,path_length,path_cost,nodes_generated,nodes_visited,execution_time_sec
171,1582_6473,AStarSearch,C1,H2,False,1234_5678,16,32.0,556,207,0.011
172,1582_6473,UniformCostSearch,C2,N/A,False,1234_5678,16,40.0,38435,14399,0.2281
173,1582_6473,AStarSearch,C2,H1,False,1234_5678,16,40.0,3700,1345,0.0834
174,1582_6473,AStarSearch,C2,H2,False,1234_5678,16,40.0,994,363,0.0197
175,1582_6473,UniformCostSearch,C3,N/A,False,1234_5678,16,40.0,40484,14939,0.2557
176,1582_6473,AStarSearch,C3,H1,False,1234_5678,16,40.0,3777,1375,0.0672
177,1582_6473,AStarSearch,C3,H2,False,1234_5678,16,40.0,961,350,0.0182
178,1582_6473,UniformCostSearch,C4,N/A,False,1234_5678,16,49.0,52518,20622,0.4147
179,1582_6473,AStarSearch,C4,H1,False,1234_5678,16,49.0,8108,3050,0.1548
180,1582_6473,AStarSearch,C4,H2,False,1234_5678,16,49.0,2384,895,0.0486
181,34187_526,UniformCostSearch,C1,N/A,False,_12345678,19,38.0,118561,43033,0.8646
182,34187_526,AStarSearch,C1,H1,False,_12345678,19,38.0,7547,2790,0.1379
183,34187_526,AStarSearch,C1,H2,False,_12345678,19,38.0,633,238,0.0121
184,34187_526,UniformCostSearch,C2,N/A,False,_12345678,19,48.0,143739,54743,1.0272
185,34187_526,AStarSearch,C2,H1,False,_12345678,19,48.0,13043,4895,0.2629
186,34187_526,AStarSearch,C2,H2,False,_12345678,19,48.0,1517,582,0.0282
187,34187_526,UniformCostSearch,C3,N/A,False,_12345678,19,47.0,112130,41451,0.7769
188,34187_526,AStarSearch,C3,H1,False,_12345678,19,47.0,11447,4300,0.211
189,34187_526,AStarSearch,C3,H2,False,_12345678,19,47.0,1431,552,0.028
190,34187_526,UniformCostSearch,C4,N/A,False,_12345678,19,52.0,61006,24053,0.4575
191,34187_526,AStarSearch,C4,H1,False,_12345678,19,52.0,8495,3201,0.1797
192,34187_526,AStarSearch,C4,H2,False,_12345678,19,52.0,1261,483,0.0272
193,163478_25,UniformCostSearch,C1,N/A,False,1234567_8,15,30.0,17689,6522,0.095
